3,Ice Bucket 6,1,3,0,6,5,0,35,0,0,60,0,0
5,Ice Bucket 6,1,N/A,6,0,0,5,0,0,0,30,0,0
6,Ice Bucket 6,0,2,3,4,2,0,30,20,40,10,0,0
7,Ice Bucket 6,1,3,1,6,6,0,2,60,2,0,40,0
4,Ice Bucket 6,0,1,1,0,1,5,0,15,0,20,40,0
9,Ice Bucket 6,0,1,4,4,4,0,50,40,50,0,0,0
10,Ice Bucket 6,1,2,3,2,2,4,10,10,0,5,0,0
13,Cry 7-2,1,6,3,0,0,0,0,0,0,0,80,0
14,Cry 7-2,1,6,0,1,4,3,10,10,10,90,80,10
15,Cry 7-2,1,4,1,2,2,0,60,60,50,70,30,20
16,Cry 7-2,1,4,2,4,2,0,10,0,0,20,20,10
17,Cry 7-2,1,2,1,4,0,0,25,0,7,0,40,0
2,Cry 7-2,1,5,0,0,5,4,0,0,0,20,90,30
3,Cry 7-2,1,5,6,0,0,5,0,0,0,0,100,0
5,Cry 7-2,1,4,1,4,2,0,0,0,0,100,0,100
6,Cry 7-2,1,5,6,0,0,4,0,0,0,0,100,0
7,Cry 7-2,1,4,0,6,6,0,2,2,2,0,60,0
4,Cry 7-2,0,2,0,0,2,0,5,10,5,0,65,0
9,Cry 7-2,1,1,5,5,4,0,40,30,30,10,0,10
10,Cry 7-2,1,2,3,3,4,2,40,30,20,20,20,0
2,rest1,0,0,0,0,4,0,50,10,90,0,0,0
3,rest1,0,0,0,6,6,0,90,0,100,0,0,0
5,rest1,0,0,0,6,6,0,100,100,100,0,0,0
6,rest1,0,0,0,5,5,0,50,50,50,0,0,5
7,rest1,0,0,0,6,6,0,50,20,50,0,0,0
4,rest1,0,0,0,6,6,0,2,2,2,0,0,0
9,rest1,0,0,0,4,4,0,50,40,50,0,0,0
10,rest1,0,0,0,4,5,0,60,40,60,0,0,0
13,rest1,0,0,0,0,0,0,10,0,10,0,0,0
14,rest1,0,2,3,3,2,1,50,60,10,20,0,0
15,rest1,0,0,0,4,4,0,60,50,50,20,0,0
16,rest1,0,2,3,4,3,0,30,0,20,10,30,0
17,rest1,0,0,0,3,4,0,100,85,100,0,0,0
2,rest2,0,0,5,6,0,0,90,30,90,0,0,0
3,rest2,0,0,0,6,6,0,100,60,100,0,0,0
5,rest2,0,0,0,6,6,0,100,100,100,0,0,0
6,rest2,0,0,0,5,6,0,40,40,80,0,0,0
7,rest2,0,0,0,6,6,0,50,10,50,0,0,0
4,rest2,0,0,0,6,6,0,15,10,10,0,0,0
9,rest2,0,0,6,6,6,0,60,40,50,0,0,0
10,rest2,0,0,2,4,4,0,30,10,20,5,0,0
13,rest2,0,0,0,0,0,0,0,0,10,0,0,0
14,rest2,0,0,0,2,3,0,70,40,80,10,0,0
15,rest2,0,0,0,3,3,0,70,50,50,10,10,10
16,rest2,0,1,2,4,3,0,30,10,20,10,0,0
17,rest2,0,0,0,4,4,0,0,85,100,0,0,0
2,rest3,0,0,0,5,4,0,80,20,90,0,0,0
3,rest3,0,0,0,6,6,0,100,0,100,0,0,0
5,rest3,0,0,0,6,5,0,80,60,60,20,0,0
6,rest3,0,0,0,5,5,0,20,10,50,5,0,10
7,rest3,0,0,0,6,6,0,10,10,10,0,10,0
4,rest3,0,0,0,2,2,0,5,0,0,0,0,0
9,rest3,0,0,6,5,5,0,60,40,50,0,0,0
