mean_neulog,standard deviation_neulog,min_neulog,max_neulog,median_neulog,skew_neulog,kurtosis_neulog,80_percentile_neulog,20_percentile_neulog,mean_polar,standard deviation_polar,min_polar,max_polar,median_polar,skew_polar,kurtosis_polar,80_percentile_polar,20_percentile_polar,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg
0.817477607,0.215669924,0.807238896,0.82635288,0.787525722,0.27462557,0.055944059,0.850532925,0.81819767,0.812486065,0.580599407,0.565217391,0.805555556,0.76,0.499790297,0.136361553,0.822368421,0.75,0.801355503,0.848484848,0.29450348,0.285714286,0.56097561,0.906976744,0.875,0.877192982,0.857142857,0.720551641,0.621390836,0.42720876,0.588400329,0.611388333,0.661203585,0.678227655
0.727167638,0.095279686,0.759478748,0.69290748,0.716220576,0.223938661,0.07870449,0.71368406,0.750186608,0.54180602,0.327097897,0.565217391,0.527777778,0.48,0.674829999,0.139965992,0.559210526,0.5,0.471252362,0.575757576,0.578224898,0.828571429,0.634146341,0.720930233,0.53125,0.596491228,0.392097264,0.629063068,0.673638669,0.536219011,0.564651903,0.598928829,0.641552665,0.535905271
0.697798007,0.02417393,0.759478748,0.645761945,0.695470743,0.238931229,0.1678169,0.668475699,0.740375909,0.442809365,0.072768502,0.47826087,0.333333333,0.48,0.358206886,0.156290608,0.361842105,0.458333333,0.462046735,0.545454545,0.460069647,0.514285714,0.658536585,0.720930233,0.5,0.536842105,0.504559271,0.522104917,0.676654107,0.638130141,0.494512442,0.492777303,0.58653009,0.583346066
0.704848088,0.041379279,0.752485184,0.647197259,0.703257308,0.149010894,0.098034477,0.679795705,0.742027851,0.499665552,0.251195005,0.47826087,0.472222222,0.5,0.610034967,0.200162715,0.427631579,0.458333333,0.274519955,0.378787879,0.247792287,0.257142857,0.487804878,0.465116279,0.375,0.256140351,0.392097264,0.427991101,0.196070573,0.303200777,0.341541343,0.368266241,0.490777589,0.324344971
0.741251827,0.112405136,0.752485184,0.717579363,0.733041277,0.212535949,0.111216276,0.733333517,0.76720161,0.610033445,0.177273601,0.565217391,0.472222222,0.64,0.345375903,0.146169407,0.526315789,0.583333333,0.270401774,0.363636364,0.232202413,0.285714286,0.463414634,0.581395349,0.5625,0.245614035,0.392097264,0.177715111,0.338147472,0.738231555,0.092904689,0.134331373,0.083175416,0.127914439
0.761401365,0.069842912,0.786114828,0.717579363,0.758293839,0.185341809,0.144583276,0.737142684,0.800986882,0.629431438,0.156538375,0.608695652,0.5,0.64,0.450143982,0.203955607,0.526315789,0.625,0.579744464,0.636363636,0.487412203,0.657142857,0.390243902,0.581395349,0.65625,0.771929825,0.544072948,0.458554223,0.621687723,0.658240096,0.43626561,0.570795483,0.393912381,0.436820067
0.749591066,0.04163224,0.806776907,0.716144049,0.749087624,0.240536574,0.191665767,0.719965602,0.788869582,0.613377926,0.172029989,0.608695652,0.5,0.6,0.513831508,0.197665678,0.526315789,0.625,0.918571259,0.984848485,0.434716095,0.342857143,0.804878049,1,0.6875,0.964912281,1,0.958275732,0.763630309,0.37131026,0.862092193,0.940688031,0.835021637,0.797129899
0.750195836,0.062164322,0.805104187,0.725311954,0.749173663,0.351578287,0.229792475,0.725177711,0.781001444,0.692307692,0.210130504,0.608695652,0.527777778,0.72,0.356058955,0.164999921,0.625,0.666666667,0.865701756,0.909090909,0.597565904,0.514285714,0.87804878,1,0.59375,0.957894737,0.869300912,0.766934829,0.919927332,0.600046223,0.769195773,0.796881846,0.871780742,0.616974983
0.083831709,0.012821511,0.100476417,0.064267812,0.08797992,0.226738632,0.368909653,0.068522988,0.098118291,0.1211917,0.253252025,0.11627907,0.186046512,0.119047619,0.319367158,0.140599271,0.162790698,0.142857143,0.418195234,0.380952381,0.396054338,0.675,0.531914894,0.952380952,0.611111111,0.511111111,0.344444444,0.517096239,0.6343259,0.5926867,0.294029756,0.4637617,0.282828283,0.347826087
0.089406158,0.019335349,0.112339209,0.087122568,0.090322581,0.829561062,0.725961266,0.0763198,0.102014716,0.088211708,0.252182859,0.093023256,0.186046512,0.095238095,0.526880848,0.412794038,0.11627907,0.095238095,0.752044326,0.714285714,0.242552481,0.225,0.404255319,0.952380952,0.777777778,0.622222222,0.7,0.890268541,0.578913888,0.335218258,0.577644065,0.726277906,0.512396694,0.632411067
