features,definitions,k_clusters,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
gsr,average,3,0.24940633106762344,0.088972954285667635,0.11699999350648753,0.714527027027027,0.091303836603783314,0.39135549633488631
gsr,pss,3,0.14036949358475337,0.033635560698027374,0.037794699277117531,0.6224662162162162,0.034404320165893343,0.39135549633488631
gsr,consensus,3,0.20175387540500156,0.062381051318662797,0.091425510957688916,0.7280405405405406,0.064963344635086198,0.39135549633488631
gsr,yesNo,4,-0.14704996619170907,0.054631422903544141,0.051092337609305448,0.6697635135135135,0.058062606808505328,0.28755289297357856
gsr,average,4,-0.15716720246250993,0.075010681561315629,0.068766311428050564,0.714527027027027,0.079993612675452352,0.28755289297357856
gsr,pss,4,-0.11147539123874783,0.03197381415365165,0.031030129548299756,0.6224662162162162,0.033923877356480191,0.28755289297357856
gsr,consensus,4,-0.12874461782758728,0.053538666989763707,0.034928483679642172,0.7280405405405406,0.058350482501660861,0.28755289297357856
gsr,yesNo,5,0.14068152831585912,0.055413401788014821,0.051968265484542038,0.6697635135135135,0.059644079765417912,0.29426653453979362
gsr,average,5,0.13758480225561553,0.071509066760649692,0.064272827788974113,0.714527027027027,0.077254885926553482,0.29426653453979362
gsr,pss,5,0.11431277942216855,0.038640369633373348,0.035486011555914673,0.6334459459459459,0.041512769211872282,0.29426653453979362
gsr,consensus,5,0.12610022557388634,0.057061962111049518,0.042030384637444247,0.745777027027027,0.063113910822038002,0.29426653453979362
gsr,yesNo,6,-0.10685001102008651,0.052948772405879613,0.042727395394382861,0.6697635135135135,0.057820954438691702,0.30470655247869005
gsr,average,6,-0.13685530647436894,0.068265584027779574,0.057747348006200454,0.714527027027027,0.074848013998815355,0.30470655247869005
gsr,pss,6,-0.080013308759481427,0.047818166168959481,0.029630080907175668,0.6334459459459459,0.052112229930217364,0.30470655247869005
gsr,consensus,6,-0.11316314676357586,0.055918438137603804,0.028848905286899776,0.745777027027027,0.062882458206431666,0.30470655247869005
gsr,yesNo,7,0.019879128686937864,0.049559776728966436,0.033294502540893188,0.6697635135135135,0.055207343252520184,0.26138542220423017
gsr,average,7,0.054867389326399785,0.063946104560656206,0.051687268084601577,0.714527027027027,0.071547966489707585,0.26138542220423017
gsr,pss,7,-0.0006510122487368708,0.045199380642982991,0.020287274091722516,0.6334459459459459,0.050237896402283821,0.26138542220423017
gsr,consensus,7,0.025878988392306512,0.053461229852044503,0.037188828282614536,0.745777027027027,0.061484942269650351,0.26138542220423017
gsr,yesNo,8,0.016464911755395994,0.047400718132914556,0.031598195898811625,0.6697635135135135,0.053540874557309381,0.27431530552893085
gsr,average,8,0.028501270988604333,0.061153212215371788,0.044888391414979432,0.714527027027027,0.069396904969898532,0.27431530552893085
gsr,pss,8,0.016569622077008517,0.04402838727253873,0.020902394405185331,0.637668918918919,0.049614748853177938,0.27431530552893085
gsr,consensus,8,0.0071367399371966567,0.051177671483971128,0.032153682556647259,0.745777027027027,0.059778304243153835,0.27431530552893085
gsr,yesNo,9,0.017340735563672771,0.045489249200242693,0.031301293682330089,0.6646959459459459,0.052254863947396667,0.2838746179479989
gsr,average,9,0.031336381033382987,0.059287572174068964,0.045343676249026355,0.7094594594594594,0.068441304265208711,0.2838746179479989
gsr,pss,9,0.017248831087187111,0.042634948564895719,0.020724803664676522,0.6359797297297297,0.048854109331927256,0.2838746179479989
gsr,consensus,9,0.011093286930041635,0.04962298609457344,0.032920410520482682,0.7288851351351351,0.059052909898780474,0.2838746179479989
ecg+gsr,yesNo,2,-0.25232961506582074,0.051404604084694411,0.077418776879524517,0.6402027027027027,0.051404835884156286,0.44872667908212466
ecg+gsr,average,2,-0.30744500752717219,0.081289199570074619,0.12288204573394641,0.6765202702702703,0.081291145089304309,0.44872667908212466
ecg+gsr,pss,2,-0.17584590947435541,0.023910074802054582,0.034878152804972876,0.5945945945945946,0.023910856931407962,0.44872667908212466
ecg+gsr,consensus,2,-0.21619201909959074,0.052795305821804125,0.086225898013868707,0.6511824324324325,0.052907790126146742,0.44872667908212466
